Customer_ID,Age,Gender,Annual_Income,Spending_Score,Subscription_Type,Region,Churn
CUST8007,62,,unknown,low,Basic,East,Y
CUST7723,,Male,unknown,high,Basic,,
CUST9554,,F,,,Premium,West,Yes
CUST7148,,Male,,48,,,Yes
CUST7610,,F,,,Basic,West,
CUST3938,,,,49,Basic,East,N
CUST4910,,Male,unknown,high,,South,
CUST1554,25,,,low,Standard,East,Yes
CUST9772,,,109458,,Standard,West,N
CUST1033,,Female,,16,,,No
CUST5696,,Male,,86,,,
CUST5431,N/A,F,47738,,,,N
CUST4095,,Male,102094,,Basic,West,
CUST9675,N/A,Male,133486,high,Premium,South,
CUST5710,49,F,unknown,20,,West,Y
CUST9866,,,unknown,low,,,No
,33,M,,low,Premium,,No
CUST4114,,,unknown,low,Premium,East,
CUST3467,N/A,F,79875,93,Basic,,Y
CUST9008,,Female,unknown,low,,South,Yes
CUST2505,,M,unknown,low,,West,No
CUST7459,,,,low,Standard,West,No
CUST1757,,F,,33,,East,
CUST6783,,M,unknown,low,,South,Yes
CUST2886,34,,120735,low,Standard,East,
CUST4195,54,M,52085,low,Basic,South,Y
CUST2487,51,Male,,low,Premium,,N
CUST6375,43,M,122361,low,,South,
CUST7587,,Male,,63,Standard,,No
CUST2826,,F,,10,,South,No
CUST3483,,M,34179,high,,West,No
CUST3789,,M,unknown,35,Premium,South,Yes
CUST6413,,Female,,low,,West,No
CUST8463,40,Male,30047,,Standard,South,
CUST2852,,,unknown,,Standard,West,N
,N/A,Female,unknown,95,Premium,North,Yes
CUST5529,,M,,high,Premium,East,N
CUST1565,42,,unknown,high,,,
CUST7696,,,unknown,high,Basic,,
CUST2695,N/A,,35349,,,South,Y
CUST5106,,F,20470,low,Basic,,
,N/A,,101417,,Standard,South,N
CUST5966,N/A,,103917,low,,,N
CUST5364,60,,125541,,Standard,,
CUST9878,,,,low,Standard,East,
CUST8525,,,unknown,73,Premium,,Y
CUST9868,49,,,low,Standard,West,N
CUST1218,N/A,Female,128120,high,Premium,East,N
CUST9823,N/A,F,,,Standard,East,Y
CUST1606,,,unknown,high,Premium,West,Yes
CUST4449,,Male,,low,Basic,South,Yes
CUST7061,,Male,,low,Basic,West,Y
CUST5767,51,Male,,high,Premium,West,Y
CUST9384,,,,86,Premium,,N
CUST2275,N/A,,,,Basic,South,Yes
CUST6440,64,M,93362,low,,West,N
CUST8665,,Female,,high,Standard,,No
CUST8741,47,F,unknown,,Premium,East,N
,N/A,Male,,19,Standard,South,No
CUST1752,,F,58928,,Premium,West,Y
CUST8121,,Female,,59,Standard,,Yes
CUST8762,,M,,high,Basic,,N
CUST2210,,,,,Premium,,N
CUST2466,69,,,15,Standard,South,Y
CUST7266,N/A,M,unknown,low,Standard,North,Yes
CUST3127,52,Female,,,,,Y
CUST9350,N/A,F,unknown,low,Premium,,Y
CUST2857,N/A,,,low,Basic,East,
CUST9453,20,,33635,,,South,
CUST6001,,F,113022,low,Basic,,N
CUST8628,,,unknown,,Basic,South,N
,,,unknown,high,Standard,South,N
CUST8085,,,,,Basic,,No
CUST4759,,Female,,27,,,Y
CUST1871,,M,unknown,high,Premium,South,
CUST5200,,M,,,Basic,,
CUST9375,N/A,,,low,,East,Yes
CUST9029,42,,,18,,North,Yes
CUST1969,,M,unknown,low,Basic,West,
CUST9365,54,,unknown,,Standard,North,Y
CUST3397,N/A,Female,48282,80,Standard,North,Y
CUST4155,,,,low,Basic,West,N
CUST8034,,,101790,,,North,
CUST3732,,Female,80289,72,,,Yes
CUST6324,,M,,70,Standard,East,Y
,40,,80097,78,,South,Y
CUST1859,N/A,Female,61923,,Basic,,Y
CUST2157,N/A,,145263,11,Standard,West,
CUST8689,,Female,unknown,,Premium,East,No
CUST9501,,F,,high,Premium,East,Yes
CUST8620,N/A,,,high,Premium,North,Yes
CUST3917,,F,,16,Standard,,No
CUST5091,46,,,98,,West,N
CUST3917,,F,111547,8,Standard,,Y
CUST3661,,Female,,,Premium,East,Yes
CUST1048,,,,low,,West,
CUST4762,41,Male,,high,Standard,North,No
CUST2362,N/A,Female,unknown,39,Standard,,No
CUST6729,,F,,low,,West,
CUST4703,,,,low,,East,N
CUST6664,,Female,,,Standard,South,Y
CUST4639,,,unknown,low,Basic,East,Yes
CUST3818,,Female,unknown,69,Basic,,N
CUST5416,,F,41099,,Premium,West,N
CUST8605,69,F,,,,,Y
CUST1478,47,M,,high,Premium,South,Y
CUST2784,,Male,,low,,South,
CUST9881,N/A,,unknown,low,Premium,West,Y
CUST2194,54,Male,unknown,high,Standard,South,
CUST4868,40,Female,,42,Basic,North,Yes
CUST2345,,,,low,Standard,,
CUST6348,,F,unknown,,Standard,South,Y
CUST6888,N/A,,,46,,,Y
CUST5641,N/A,,,low,,South,N
CUST1820,52,,,high,Basic,South,
CUST1021,27,,unknown,high,Basic,South,Yes
CUST6920,,M,unknown,high,Basic,West,N
CUST4459,,Male,,59,Premium,,Y
CUST4572,N/A,,,high,Basic,West,Y
CUST1458,62,Female,76787,high,,,
CUST7631,N/A,,63030,,Premium,West,No
CUST6687,,Male,,low,,North,N
CUST5014,39,F,44397,low,Standard,East,N
CUST5257,,Male,unknown,low,Basic,,No
CUST5189,,Male,71373,high,Basic,East,
CUST1973,,,,,,South,Y
CUST8469,42,,,high,Premium,South,Yes
CUST3867,,Female,,,,West,No
CUST1880,N/A,,,high,Premium,West,No
CUST2268,,M,,,Premium,North,N
CUST9528,,,,low,Premium,North,Y
CUST7147,20,Female,unknown,48,Basic,East,Y
CUST6540,N/A,Female,unknown,,,West,
CUST1812,,M,unknown,high,Basic,,No
CUST6405,44,,95218,low,,East,No
CUST3678,,,unknown,,Premium,East,
CUST1557,58,F,,low,Premium,East,Y
CUST8760,42,Male,,,Basic,East,Y
CUST8157,,F,,high,Standard,,
CUST3150,,,128741,low,Basic,,Y
CUST3383,,F,92306,high,Basic,North,
CUST6266,,Female,unknown,9,Premium,,No
CUST9283,,M,118216,,,North,No
CUST1324,N/A,M,,low,Basic,,
CUST4297,,Male,,low,Standard,,N
CUST5868,63,Female,,,Standard,,No
CUST7804,N/A,,,high,,East,Y
CUST9303,,M,unknown,high,Basic,,Yes
,,Male,unknown,77,Premium,South,
,70,F,,high,,North,Y
CUST2671,,F,,,Premium,South,
CUST9307,48,F,unknown,high,Basic,South,No
CUST5250,23,F,79483,low,Basic,South,
CUST9807,,,25158,,Standard,,
CUST7373,N/A,Male,,74,,North,Yes
CUST2007,N/A,,39384,high,Basic,North,
CUST4497,,F,,,,North,N
CUST9939,N/A,,unknown,13,,South,No
CUST1844,N/A,M,142769,54,Standard,,No
CUST7767,,,63796,48,Premium,East,
,,Female,,high,Basic,,Yes
CUST7714,N/A,Male,,,Standard,North,N
CUST6573,,Female,,85,,East,
CUST5571,,M,74743,high,,,No
CUST2648,,,,,,West,Yes
CUST2504,26,Male,46657,,Standard,,Yes
CUST8914,,,97434,high,Standard,,
CUST8673,N/A,Male,,32,,,Y
CUST1945,,M,32295,low,Basic,West,N
CUST9527,N/A,,25150,,Basic,East,N
CUST4567,68,Male,,high,Standard,North,No
CUST6415,N/A,Male,unknown,66,,West,No
CUST3589,N/A,Female,,low,Basic,South,Yes
CUST7815,,,,24,,North,Y
CUST2036,N/A,Male,,high,Basic,North,No
CUST2120,,Male,unknown,low,,East,Y
CUST1098,N/A,,unknown,9,Premium,North,No
CUST5872,N/A,Male,83921,low,Premium,,No
CUST1344,,,,,Premium,West,No
CUST6781,,Female,,high,Basic,,N
CUST9453,,,100272,,,North,Yes
,,,unknown,,Premium,,No
CUST9821,58,M,107808,85,,East,Y
CUST9311,22,F,,high,Standard,East,
CUST2427,,Female,unknown,,Premium,West,N
CUST9922,,,,low,Premium,East,Yes
CUST7212,,,,2,Premium,East,Yes
CUST8539,27,Female,,high,Basic,West,
CUST4547,62,,,high,Basic,East,N
CUST1376,64,,44480,high,Standard,West,No
CUST7888,N/A,M,unknown,low,Standard,North,Yes
CUST1524,,F,,,,,Yes
CUST2769,56,,,87,Premium,,Yes
CUST3229,N/A,,,high,Standard,East,Yes
CUST6817,50,F,,,,,No
,,Female,unknown,high,,North,Y
CUST2164,,,,low,Basic,East,
CUST3696,,M,unknown,high,Standard,South,Y
CUST8480,,,,54,,West,
CUST6523,,Female,,80,,West,
CUST8949,,,81070,,Premium,North,
,N/A,Male,121192,high,Premium,South,No
CUST2936,,M,unknown,low,Standard,East,
CUST9216,N/A,Female,,60,Premium,,
CUST9250,38,F,,42,,East,
CUST1787,,M,unknown,low,,South,
CUST2681,,Female,136701,,Basic,West,N
CUST6785,,Male,,low,Premium,East,Yes
CUST1518,,F,unknown,44,Standard,South,
CUST4700,N/A,Male,148868,high,Basic,North,
CUST6747,,M,unknown,high,Premium,West,N
CUST7369,,Female,,high,,East,Y
CUST6209,,,135538,low,Standard,,No
CUST6379,N/A,Male,unknown,8,Premium,,No
CUST5323,,M,125900,71,Premium,West,
CUST2397,,M,,58,Standard,West,N
CUST9252,44,Female,,31,Basic,East,
CUST9702,52,,unknown,,Premium,West,Y
CUST5394,,Female,,,Premium,East,Y
CUST3831,,Male,,high,Basic,,Yes
CUST3529,60,F,,80,,,N
CUST8272,N/A,,,low,,East,
CUST7758,,Male,unknown,low,,,
CUST1802,,Female,103444,74,Basic,South,N
CUST8988,N/A,M,,74,,South,Yes
CUST8499,24,Female,91698,high,Premium,North,
CUST5969,,,unknown,49,Standard,West,N
,N/A,,,high,,West,Yes
CUST7422,,Female,127947,high,Basic,,Y
CUST6357,,,143855,high,,West,Y
CUST9728,,,unknown,61,,,Yes
CUST6029,N/A,Male,unknown,high,Premium,West,Y
CUST6377,,Female,,high,,,Yes
CUST2149,N/A,F,unknown,70,Standard,North,N
CUST9467,,Male,,low,Premium,North,
CUST7499,,Female,unknown,high,Premium,South,N
CUST4264,61,Female,,low,Basic,East,N
CUST4956,,Female,,high,,,N
CUST5690,,Male,,,Basic,,
CUST6750,68,M,,60,,East,N
CUST9802,60,Female,unknown,,Standard,West,Y
CUST2741,,F,unknown,low,Standard,West,Yes
CUST8086,,F,,high,Standard,,
CUST7104,,F,,low,Premium,North,
CUST9967,,,unknown,low,,,No
CUST7964,N/A,Male,,high,Basic,West,
CUST5952,,,unknown,low,Premium,South,
CUST7942,,,,38,,South,No
CUST8504,N/A,F,,13,Standard,,No
CUST8069,,,,low,Basic,South,N
CUST1715,,Female,unknown,high,,East,Y
CUST7729,,M,,high,Standard,East,N
CUST7986,30,Female,unknown,,,North,Yes
CUST3521,N/A,M,90570,94,,,N
CUST7177,33,Female,unknown,high,Basic,East,
CUST8487,,Male,66120,high,Premium,,
CUST8787,18,,,43,Premium,East,Y
CUST1487,40,M,unknown,low,,,N
CUST9859,,M,unknown,81,Standard,North,
CUST8414,,M,,low,,West,Yes
CUST2174,,Female,unknown,,,North,Y
CUST9557,,M,94816,low,Standard,,N
CUST5290,,,,,Basic,,
CUST7437,N/A,M,unknown,low,,,Y
CUST7583,,Male,unknown,high,Standard,,Y
CUST2543,18,,,high,Premium,North,
CUST9897,,,unknown,,Premium,South,
CUST2597,N/A,,unknown,,Standard,North,
CUST1831,,F,,low,Standard,West,N
CUST5964,,,,low,Standard,West,
CUST8875,,Male,unknown,64,,,
CUST4894,,F,,high,Standard,South,Y
CUST9318,,Male,136509,,Basic,,Y
CUST5018,,M,106507,high,Standard,,N
CUST1610,N/A,Female,136291,94,Premium,West,No
CUST8966,,,unknown,low,Standard,,Yes
CUST6498,N/A,F,,low,,West,
CUST9381,,,unknown,low,,,Yes
CUST4031,,,43696,,,West,
CUST1300,N/A,M,99271,,,,Y
CUST8711,N/A,Female,,,Basic,South,
CUST1948,N/A,,,,,,
CUST2860,,M,101984,89,,South,
CUST9297,66,Male,,14,Premium,,N
CUST7303,N/A,,unknown,,Standard,West,N
CUST7662,N/A,,unknown,high,Basic,,No
CUST4298,N/A,M,77231,high,Standard,West,
CUST8879,55,Female,unknown,,Standard,,No
,,,,low,Standard,,Yes
CUST9428,N/A,,,high,,North,N
CUST9763,N/A,,unknown,52,,South,N
CUST8937,62,,,high,Standard,,No
CUST9472,,M,116906,81,Standard,West,No
CUST9323,,M,unknown,41,Premium,,No
CUST3078,,,32961,high,Premium,East,N
CUST9339,,,unknown,82,,,Y
CUST2454,,Female,82417,low,Premium,,Yes
CUST2155,N/A,M,unknown,low,,East,Y
CUST9900,N/A,M,44775,88,Standard,,N
CUST8416,N/A,F,unknown,57,,East,
CUST5199,,,,29,Premium,West,No
CUST5606,,,unknown,17,,East,
CUST7190,25,Male,,,Standard,West,
CUST5943,,Female,,low,Basic,North,Yes
CUST1475,,,50136,high,Basic,,
CUST1481,,F,,,,South,Yes
CUST9536,,M,unknown,low,,,N
CUST3362,,M,100444,44,Basic,East,
CUST5585,61,F,,low,Premium,East,
CUST9895,,Male,unknown,,Premium,East,Yes
CUST7891,,F,,high,Premium,East,No
CUST8444,37,,,low,,West,
CUST3980,N/A,,,low,,West,N
CUST9298,,Female,,high,Basic,South,
CUST2570,,M,,low,,West,
CUST3298,N/A,F,,high,Premium,South,
CUST2002,,,,low,Standard,East,
CUST5402,64,M,,low,,East,No
CUST6912,69,,,98,Basic,,N
CUST1461,,Female,unknown,high,Standard,South,Y
,34,,unknown,20,Basic,North,Yes
CUST6905,,M,,high,Standard,,No
CUST1068,,,40725,,Basic,North,N
CUST2419,,Female,,high,Basic,,Yes
CUST9982,,,unknown,low,,East,Yes
CUST9585,N/A,Male,138758,,Standard,,Y
CUST8023,,Female,,high,Standard,West,Yes
,,,,,Basic,East,No
CUST1669,,F,unknown,100,Standard,West,No
CUST5106,56,,,89,Standard,East,
CUST2644,,,unknown,low,Basic,East,
CUST6080,,,,low,Standard,South,N
CUST4673,,,25185,low,,East,
CUST2572,19,,,low,Basic,,Yes
CUST3021,,F,,low,Premium,South,Y
CUST4173,58,,,,,,
CUST3725,,M,,74,Basic,North,No
CUST5493,,F,,93,Basic,,Yes
CUST7828,N/A,Male,72214,,Basic,South,Y
CUST2399,,,,77,,West,No
CUST5213,,Female,unknown,low,Premium,,Y
CUST4945,,,134464,,Premium,North,Y
CUST8573,,,,low,Basic,South,
CUST3388,68,Female,,low,,,N
CUST3997,N/A,M,67417,high,Basic,West,Y
CUST7116,,M,,,Basic,East,No
CUST9853,,,,high,Standard,East,No
CUST5779,N/A,,,,Standard,South,N
CUST8768,39,Female,81083,68,Basic,North,N
CUST3668,,M,79041,low,Standard,,Yes
CUST8700,,,,low,,East,N
CUST7080,29,,unknown,high,,South,
CUST1868,,M,unknown,74,,East,
CUST4973,N/A,Male,,high,Basic,West,No
CUST5688,,Female,,37,Standard,North,Y
CUST3409,,F,unknown,low,Premium,East,Yes
CUST1745,,,,52,,South,
CUST9005,35,M,40283,41,,South,N
CUST8201,N/A,F,30721,high,,,No
CUST4573,50,Male,unknown,,Standard,West,Y
CUST8988,,F,91664,low,Premium,West,
CUST6409,,,unknown,,Premium,,No
CUST7483,56,F,,high,Basic,West,Yes
CUST3429,44,F,76669,low,Basic,East,N
CUST8226,,Female,31632,low,Premium,East,
CUST1947,N/A,F,24359,high,Basic,East,Y
CUST7230,,Male,,,,East,
CUST7565,,,77738,low,Standard,,Yes
CUST5546,,F,unknown,high,Premium,North,No
CUST7556,45,M,unknown,low,Basic,South,Yes
CUST1109,,Male,28557,low,,North,
CUST2454,,F,131227,24,Standard,,
CUST9244,N/A,F,unknown,high,Standard,North,Yes
CUST7152,,,,48,,East,No
,,,unknown,96,,,Yes
CUST5502,N/A,,110624,low,Basic,North,Y
CUST5883,30,F,31491,9,Basic,,Yes
CUST6666,,Female,,,Standard,South,
CUST6165,N/A,Female,46089,,Premium,South,No
CUST9783,,M,,high,Basic,North,Y
CUST6597,N/A,,unknown,high,,North,
CUST2480,N/A,,,low,,West,
CUST4572,42,,unknown,high,Standard,,
CUST1994,,,unknown,,,East,
CUST2259,49,M,,81,Standard,North,Y
CUST8070,,F,,high,,West,N
CUST6347,,Female,145132,,Basic,,
CUST1245,N/A,,unknown,36,Standard,West,N
CUST8610,N/A,Male,60661,high,Standard,,Yes
CUST2196,,F,,high,Premium,West,Yes
CUST3520,,Male,38411,low,,,No
,39,Female,,low,Basic,,
CUST3013,,F,,,Standard,,
CUST2173,N/A,,49660,,,,No
CUST6139,N/A,,unknown,73,Premium,West,N
CUST7725,N/A,Female,,low,,North,Y
,,Male,unknown,high,Premium,West,Yes
CUST3569,,F,unknown,,Premium,South,No
CUST8273,N/A,M,,41,Basic,North,Yes
CUST2849,,Male,,,Basic,North,N
CUST9491,N/A,F,unknown,90,,West,
CUST2323,,,unknown,,Basic,North,Y
CUST4640,N/A,M,,high,Premium,East,
CUST1695,47,M,unknown,high,Basic,South,
CUST2184,N/A,,,high,,,
CUST8192,,Male,,35,Premium,West,N
CUST1119,,Male,unknown,low,,,Yes
CUST7913,N/A,F,,low,,East,N
CUST4719,N/A,,,,Standard,East,
CUST7328,N/A,Male,96436,high,Standard,West,
CUST3604,,Male,,high,Premium,East,Yes
CUST1219,,Female,75674,75,Basic,South,No
CUST7223,N/A,F,21330,low,Basic,West,No
CUST2375,N/A,,,37,,,N
,25,M,,20,,East,
CUST2690,,,138048,low,Basic,,Y
CUST5492,,Male,unknown,low,Basic,North,Yes
CUST7202,27,,,low,Basic,West,N
CUST6590,,M,,61,,,N
CUST5403,,,,,Premium,,Y
CUST9095,N/A,Male,unknown,high,Basic,West,
CUST2137,N/A,,,low,Standard,North,Yes
CUST1174,,,,36,Basic,North,Y
CUST8480,61,F,,29,Basic,North,
CUST5918,,Female,,45,Basic,West,Yes
CUST9348,62,Male,,low,,South,No
CUST2622,32,M,unknown,high,Basic,South,Y
CUST2017,34,,,low,Standard,West,N
CUST6234,N/A,,,high,Basic,East,
CUST2456,,F,114119,low,Premium,West,Y
CUST9651,,Male,,,Premium,East,N
CUST2232,N/A,,,10,,West,Yes
CUST2085,53,M,88735,60,,,N
CUST6645,N/A,Male,,high,Basic,North,N
CUST2464,,,94539,low,Basic,South,Y
CUST2159,,M,,,Standard,,
CUST7681,N/A,Female,148726,high,Standard,,Yes
CUST8537,,,unknown,,,,No
CUST6587,N/A,,,high,,South,N
,N/A,,,low,Basic,,
CUST1860,N/A,M,,low,,,Y
,62,,,20,,North,
CUST1577,,,unknown,,Standard,East,N
CUST8314,,,unknown,high,Basic,South,No
,,,,45,Basic,,
CUST7772,N/A,,61498,8,,North,No
CUST4580,N/A,,,27,,,N
CUST5212,,Male,,low,Premium,,Y
CUST5513,28,F,,high,Premium,North,N
,,,unknown,,Standard,East,
CUST5850,31,,,low,Premium,East,
CUST2351,,Female,,low,,West,Yes
CUST5756,N/A,,,,Premium,,Yes
CUST4635,N/A,,,high,,,Yes
CUST9524,,Male,57588,93,Standard,,Y
CUST9407,,M,,,,West,
,,Female,102310,,,South,
CUST2184,,,,14,Premium,,
CUST4382,N/A,F,,high,,,N
CUST4013,N/A,F,unknown,,,,No
CUST2895,,Female,unknown,,,North,N
CUST9805,28,Female,unknown,,Premium,West,
CUST8638,31,,60763,53,Standard,,
CUST8044,,M,,11,Premium,South,
CUST5705,N/A,,46557,high,Basic,East,No
CUST4650,N/A,M,unknown,low,Premium,West,
CUST9222,N/A,,unknown,,Basic,,Y
CUST3256,N/A,,,54,,West,
CUST7725,N/A,,,23,Standard,,
CUST1057,65,Male,,67,Basic,,
CUST5732,,Male,,7,,,No
CUST5465,N/A,F,,high,Basic,,
CUST6154,N/A,F,,high,Basic,,Yes
CUST1812,N/A,F,,low,Premium,North,No
CUST9812,N/A,,,high,,South,
CUST7598,58,M,,,Standard,North,No
,,F,138064,,Basic,South,No
CUST2266,,,,low,,,No
CUST4330,,Female,,low,,,Y
CUST4288,,M,unknown,low,Premium,South,Yes
CUST7363,,,,low,Standard,,
CUST4418,N/A,M,unknown,low,Basic,South,
CUST6257,,,72298,low,Premium,,Yes
CUST6092,,Male,92184,,Basic,South,Yes
CUST5103,,,95272,high,Basic,,No
CUST6314,,,,,,West,No
CUST2267,56,,unknown,low,,,No
CUST9509,,F,unknown,high,Premium,North,
CUST7179,57,M,24783,74,Premium,North,Y
CUST7391,,,,,,East,N
CUST7669,67,F,unknown,low,,South,N
CUST1443,N/A,,,low,Standard,East,
CUST6940,N/A,Male,,,,,
CUST3578,,Male,57375,high,,West,Yes
CUST8483,,,unknown,,Standard,East,
CUST4825,39,Male,unknown,75,,South,
CUST7788,,Female,,high,,North,
CUST8591,23,Female,72546,high,Basic,,Y
CUST2735,N/A,,,high,,West,No
CUST4913,N/A,,,,Premium,South,Y
CUST9310,N/A,Female,unknown,high,,,Yes
CUST1509,,,114038,low,,West,No
CUST4858,,Male,,low,,,
CUST3813,,,122688,high,Basic,,Yes
CUST9049,N/A,Female,,61,Standard,South,No
CUST3111,,F,,low,Premium,North,Yes
CUST3893,N/A,,119876,,Basic,East,Y
CUST4128,N/A,Male,117273,,Premium,South,Y
CUST2412,31,,57169,high,Standard,West,
CUST3243,34,,unknown,44,,North,Y
CUST2176,,F,106307,12,Premium,East,Y
CUST3988,,Female,unknown,,Basic,North,
CUST7202,,F,,high,Standard,South,Y
CUST1400,,F,,,,,
CUST7820,31,Male,unknown,high,Premium,West,
CUST6333,,Female,138990,,Basic,West,Yes
CUST3546,,M,,low,Basic,West,Yes
CUST5636,N/A,M,,38,Basic,North,No
CUST9067,N/A,Female,,37,Basic,West,
CUST5641,,,,10,,South,
CUST8569,,F,,low,Premium,North,N
CUST8605,N/A,Female,unknown,,Standard,,
CUST3396,,,unknown,low,Standard,,
CUST1622,34,M,,low,Premium,North,Y
CUST8487,,,,74,,,No
CUST7525,41,Female,unknown,low,Standard,West,N
CUST1791,66,Male,unknown,low,Basic,East,Yes
CUST7525,21,M,,low,,,Y
CUST6917,,F,,,Basic,,N
CUST4327,,,26684,high,,East,No
CUST3169,,,45514,high,Basic,East,Y
CUST5831,N/A,F,unknown,high,,,N
CUST8509,N/A,,,low,Basic,West,Yes
CUST2362,,Female,,,,North,Y
CUST2490,,Female,94408,,Standard,,Yes
,N/A,,,high,Premium,South,N
CUST7180,N/A,Female,,,,South,
CUST8894,N/A,F,,high,Standard,,Yes
CUST9429,,F,,low,,,
CUST3050,,F,,60,Premium,South,
CUST4382,49,,unknown,low,Basic,,
CUST5428,,F,,low,,,Yes
CUST8404,,Male,131613,low,Standard,South,No
CUST4825,,,,high,Standard,East,Y
CUST5089,27,Female,,low,Basic,East,
CUST5664,,Male,unknown,low,Standard,,Y
CUST7198,,,,,Standard,West,
CUST6769,,,116610,high,Premium,South,
CUST3075,30,Female,136818,low,,South,N
,60,Male,,23,Premium,East,N
CUST6197,N/A,,unknown,low,Basic,South,Y
CUST5466,,,,low,Standard,North,
,,M,,8,Standard,West,N
CUST7142,,M,,low,Basic,East,N
CUST8195,,Female,,85,Premium,North,No
CUST5406,,Male,,21,,,N
CUST2556,N/A,,109297,98,,,No
CUST5660,,F,,,Standard,,
CUST9074,N/A,Female,89465,29,Standard,South,
CUST2716,65,M,,low,Premium,West,
CUST7124,,F,,low,,,N
CUST1749,30,Male,,,Standard,South,Y
CUST6537,64,,98496,low,Premium,East,Y
CUST6866,38,M,,high,,,Yes
CUST2261,,,,high,Basic,West,Y
CUST5385,N/A,M,,high,,East,N
CUST3802,,,,,Standard,East,
CUST7446,55,Female,70932,high,Standard,North,
CUST8097,,,unknown,,,North,Yes
,,Female,unknown,high,Standard,West,No
CUST2757,,Male,,,Standard,,N
CUST1208,,Male,,low,Premium,,Yes
CUST3254,69,,102767,64,Standard,,Yes
CUST2092,N/A,M,54669,low,Basic,North,Yes
CUST7757,,,75028,,Premium,,Yes
CUST7200,58,M,83614,low,Basic,South,No
CUST4443,N/A,M,125506,high,Basic,North,
CUST8711,58,,,6,,,No
CUST2802,,,unknown,,Premium,,
CUST6494,,M,,high,,,
CUST6596,N/A,F,,91,Basic,,N
CUST2346,,M,63147,,,North,No
CUST8044,,M,31276,high,,North,Yes
CUST6868,60,,unknown,high,Standard,West,Yes
CUST6612,,Female,,,Standard,North,No
CUST3663,,,,low,,North,No
CUST3675,40,Male,,low,,,No
CUST1216,,Male,,low,,,
CUST3291,N/A,Female,,,Premium,,No
CUST2100,N/A,F,unknown,79,Standard,East,Yes
CUST5527,,,,89,,South,
CUST1870,N/A,,,high,,,N
CUST8258,25,Male,,,Basic,South,N
CUST3646,,,,low,Basic,South,Yes
CUST3681,,Female,134120,low,,,No
CUST4011,35,F,,high,,East,Yes
CUST9516,,F,unknown,,Basic,North,
CUST1163,N/A,Female,,low,,South,
CUST4317,N/A,M,,high,Premium,East,
CUST1942,28,,unknown,low,Basic,,Y
CUST2640,59,,,low,,North,No
CUST7127,N/A,,unknown,high,,South,
CUST1883,27,Male,,16,,East,N
CUST5470,,,,,Premium,West,N
CUST9445,,Male,87754,low,Basic,East,N
CUST3289,,Male,,high,,North,Y
CUST3810,,,47249,,,East,No
CUST6844,,,,,,East,
CUST1836,,,,2,Basic,South,N
CUST5816,55,Female,unknown,16,,North,Y
CUST9931,,M,unknown,,Premium,,Yes
CUST1115,41,Female,unknown,,Premium,South,
CUST7801,,,,,Premium,East,Y
CUST2442,66,,66150,low,Standard,,No
CUST4494,36,F,46404,69,,,N
CUST5732,,Male,,low,Basic,East,
CUST8479,N/A,,unknown,low,,East,
